github.com/dzfweb/microsoft-microservices-book;git://github.com/dzfweb/microsoft-microservices-book.git;B;;;;;;;M = proper microservice architecture;28;8,8%;NOT OK;51,7%
github.com/moorara/microservices-demo;git://github.com/moorara/microservices-demo.git;D;;;;;;;S = single microservice / tool;49;15,4%;OK;48,3%
github.com/brikis98/infrastructure-as-code-talk;git://github.com/brikis98/infrastructure-as-code-talk.git;D;;;;;;;B = Book / Blog / Article / Guide / Very Small Demo;37;11,6%;;
github.com/takama/caldera;git://github.com/takama/caldera.git;T;;;;;;;D = Full MS Demo/Example;126;39,5%;;
github.com/lipp/login-with;git://github.com/lipp/login-with.git;S;;;;;;;T = Tool;61;19,1%;;
github.com/rafabene/tracing-demo;git://github.com/rafabene/tracing-demo.git;D;;;;;;;O = off topic;18;5,6%;;
github.com/burningmyself/micro;git://github.com/burningmyself/micro.git;M;chinese;;;;;;;319;;;
github.com/python-microservices/pyms;git://github.com/python-microservices/pyms.git;S;chassis;;;;;;;;;;
github.com/clux/webapp-rs;git://github.com/clux/webapp-rs.git;S;;;;;;;;;;;
github.com/SeldonIO/seldon-server;git://github.com/SeldonIO/seldon-server.git;M;;;;;;;;;;;
github.com/couchbaselabs/blog-source-code;git://github.com/couchbaselabs/blog-source-code.git;B;;;;;;;;;;;
github.com/hypergrid-inc/docker-java-microservices;git://github.com/hypergrid-inc/docker-java-microservices.git;M;;;;;;;;;;;
github.com/vlingo/vlingo-xoom-bak;git://github.com/vlingo/vlingo-xoom-bak.git;T;;;;;;;;;;;
github.com/ivanpaulovich/clean-architecture-manga;git://github.com/ivanpaulovich/clean-architecture-manga.git;S;;;;;;;;;;;
github.com/imrenagi/microservice-skeleton;git://github.com/imrenagi/microservice-skeleton.git;M;chassis;;;;;;;;;;
github.com/markglh/composing-microservices-with-sbt-docker;git://github.com/markglh/composing-microservices-with-sbt-docker.git;D;;;;;;;;;;;
github.com/mattvonrocketstein/elixir-microservice-architecture;git://github.com/mattvonrocketstein/elixir-microservice-architecture.git;M;chassis;;;;;;;;;;
github.com/open-horizon/examples;git://github.com/open-horizon/examples.git;D;;;;;;;;;;;
github.com/koutsoumposval/laravel-microservices;git://github.com/koutsoumposval/laravel-microservices.git;D;;;;;;;;;;;
github.com/as-a-service/screenshot;git://github.com/as-a-service/screenshot.git;S;;;;;;;;;;;
github.com/eacdy/spring-cloud-study;git://github.com/eacdy/spring-cloud-study.git;M;chinese;;;;;;;;;;
github.com/idugalic/micro-company;git://github.com/idugalic/micro-company.git;D;;;;;;;;;;;
github.com/aelassas/store;git://github.com/aelassas/store.git;D;;;;;;;;;;;
github.com/remorses/mongoke;git://github.com/remorses/mongoke.git;T;;;;;;;;;;;
github.com/holmes89/hex-example;git://github.com/holmes89/hex-example.git;D;;;;;;;;;;;
github.com/oktadeveloper/okta-spring-microservices-docker-example;git://github.com/oktadeveloper/okta-spring-microservices-docker-example.git;D;;;;;;;;;;;
github.com/agxp/CloudFlix;git://github.com/agxp/CloudFlix.git;M;;;;;;;;;;;
github.com/abpframework/abp-samples;git://github.com/abpframework/abp-samples.git;D;;;;;;;;;;;
github.com/MozillaSecurity/orion;git://github.com/MozillaSecurity/orion.git;T;;;;;;;;;;;
github.com/kbastani/spring-cloud-microservice-example;git://github.com/kbastani/spring-cloud-microservice-example.git;D;;;;;;;;;;;
github.com/NeoResearch/neocompiler-eco;git://github.com/NeoResearch/neocompiler-eco.git;M;;;;;;;;;;;
github.com/benwilcock/cqrs-microservice-sampler;git://github.com/benwilcock/cqrs-microservice-sampler.git;D;;;;;;;;;;;
github.com/IF1007/if1007;git://github.com/IF1007/if1007.git;D;;;;;;;;;;;
github.com/ganrad/k8s-springboot-data-rest;git://github.com/ganrad/k8s-springboot-data-rest.git;D;;;;;;;;;;;
github.com/nhsx/open-source-fhir-server;git://github.com/nhsx/open-source-fhir-server.git;T;;;;;;;;;;;
github.com/yu-iskw/machine-learning-microservice-python;git://github.com/yu-iskw/machine-learning-microservice-python.git;D;;;;;;;;;;;
github.com/deenaariff/Starly;git://github.com/deenaariff/Starly.git;M;;;;;;;;;;;
